de_easy;de_hard;en_easy;en_hard
menschen;kernspaltung;able;abandon
leben;fortführung;about;abstract
weiß;wiederaufnahme;above;abundance
mann;abdüsen;accept;accelerate
sagen;abfliegen;accident;accessible
weg;abfahren;account;accompany
deutschen;aufbrechen;achieve;accomplish
welt;abhauen;across;accountability
frau;losfahren;act;accumulate
stadt;davonmachen;action;accurate
danke;abreisen;active;acknowledge
leute;wegfahren;actor;acquisition
kinder;abdampfen;add;adaptation
geben;davonfahren;address;addiction
geld;fortfahren;adult;adequate
arbeit;deputat;after;administer
frage;kursus;afternoon;adolescent
deutsche;workshop;again;advantageous
paar;weiterbildung;age;aesthetic
wissen;lehrgang;ago;aggravate
fall;seminar;agree;aggression
frauen;training;air;agriculture
schön;schulung;airport;allocate
letzten;kurs;alarm;altercation
art;mangelhaftigkeit;alike;ambitious
stehen;böse;alive;amplify
seite;füßen;all;analogy
spiel;treten;allow;analysis
liebe;missachten;almost;ancestor
land;hinwegsetzen;alone;anecdote
fragen;zuwiderhandeln;along;anticipate
platz;verbotenes;already;anxiety
nehmen;böses;also;apparatus
geschichte;kind;always;appreciate
guten;süßen;amazing;apprehensive
bekommen;gift;and;arbitrary
euro;naschen;angel;architecture
haus;beaufsichtigen;angry;articulate
familie;überwachen;animal;artificial
bild;sittliche;answer;aspiration
arbeiten;werte;any;assassination
glaube;sittlichkeit;apart;assemble
minuten;wertvorstellungen;apple;assimilate
polizei;ethik;area;association
stellen;wertmaßstäbe;arm;assumption
unternehmen;moral;army;astonish
woche;moralische;around;atmosphere
bleiben;muskel;arrive;attribute
grund;impuls;art;audience
namen;schmähung;artist;authentic
problem;diffamierung;ask;authorize
stand;verleumdung;asleep;automation
thema;verunglimpfung;at;autonomy
halt;herabwürdigung;attack;awareness
nacht;mensch;aunt;bankruptcy
stunden;urmensch;autumn;barrier
halten;verstehen;awake;behavior
schule;schlau;away;beneficial
abend;ankerplatz;baby;biography
wasser;ankergrund;back;boundary
musik;sozialdemokratische;bad;bureaucracy
sofort;partei;bag;calculation
junge;deutschlands;ball;camouflage
ort;sozialdemokraten;banana;candidate
alten;alte;band;capability
bringen;tante;bank;capacity
hand;spd;bar;catastrophe
kopf;kulturhoheit;base;categorize
auto;kürze;basic;cautious
männer;prägnanz;basket;ceremony
nächsten;couragiert;bath;challenge
finde;kühn;be;characteristic
zeigen;mutig;beach;chronological
person;eier;bean;civilization
gesellschaft;hose;bear;coincidence
kind;angst;beautiful;collaborate
straße;kennen;because;colleague
alter;weder;become;collision
anfang;tod;bed;combustion
gott;teufel;bee;commitment
mutter;fürchten;beef;communicate
eltern;wagemutig;before;community
wochen;wacker;begin;compassion
gruppe;tapfer;behind;compensate
augen;bezahlen;believe;competence
treffen;schlichtweg;bell;competition
schreiben;rein;belong;complexity
millionen;glattweg;below;compliance
denke;reinweg;best;component
beste;einfach;better;composition
hilfe;geradewegs;between;compromise
sache;schlicht;big;compulsory
herr;direkt;bird;conceal
glück;schier;birthday;concentration
artikel;praktisch;biscuit;concept
folge;freilich;black;concrete
politik;schlechthin;blanket;condemn
alte;geradezu;block;conduct
denken;glatt;blood;confidence
lesen;schlechterdings;blue;confidential
bisschen;informiert;board;conformity
richtung;unterrichtet;boat;consequence
film;verkrümmung;body;conservation
personen;verzerrung;boil;considerable
regierung;schmelzen;book;consistent
internet;sintern;boot;conspiracy
team;schleimig;born;contagious
wort;ölig;borrow;contemporary
dinge;schmierig;both;contingency
stelle;glitschig;bottle;continuous
sohn;europäischer;bottom;contradict
spaß;fußballverband;box;contribute
buch;ambivalent;boy;controversial
prozent;uneindeutig;brain;convenient
mensch;doppeldeutig;brave;cooperation
mädchen;janusköpfig;bread;coordinate
bereich;zweideutig;break;correlate
ernst;zweifacher;breakfast;correspond
vater;bedeutung;bridge;corruption
zukunft;stiftung;bright;courageous
form;schenkung;bring;creativity
idee;dotierung;brother;credibility
fahren;athletisch;brown;crisis
neues;topfit;brush;criticism
wert;form;build;crucial
wahl;bemüßigt;building;cultivate
gegeben;sehen;bus;curiosity
suchen;gehalten;busy;currency
ziel;gezwungen;buy;curriculum
helfen;genötigt;by;customization
kosten;umhinkönnen;cake;database
entwicklung;umhinkommen;call;debate
folgen;veranlasst;calm;deceive
freunde;fühlen;camera;decision
könnten;aufs;camp;declaration
verstehen;auge;can;decline
angst;gedrückt;candle;dedication
